(23, 25) (0, 1) (12, 30) 
(23, 25) (0, 1) (11, 23) 
(23, 25) (0, 1) (11, 25) 
(23, 25) (0, 1) (11, 26) 
(23, 25) (0, 1) (11, 30) 
(23, 25) (0, 1) (6, 23) 
(23, 25) (0, 1) (6, 25) 
(23, 25) (0, 1) (6, 26) 
(23, 25) (0, 1) (6, 30) 
(23, 26) (0, 1) (18, 30) 
(23, 26) (0, 1) (17, 26) 
(23, 26) (0, 1) (17, 30) 
(23, 26) (0, 1) (16, 25) 
(23, 26) (0, 1) (16, 26) 
(23, 26) (0, 1) (16, 30) 
(23, 26) (0, 1) (15, 23) 
(23, 26) (0, 1) (15, 25) 
(23, 26) (0, 1) (15, 26) 
(23, 26) (0, 1) (15, 30) 
(23, 26) (0, 1) (13, 23) 
(23, 26) (0, 1) (13, 25) 
(23, 26) (0, 1) (13, 26) 
(23, 26) (0, 1) (13, 30) 
(23, 26) (0, 1) (12, 23) 
(23, 26) (0, 1) (12, 25) 
(23, 26) (0, 1) (12, 26) 
(23, 26) (0, 1) (12, 30) 
(23, 26) (0, 1) (11, 22) 
(23, 26) (0, 1) (11, 23) 
(23, 26) (0, 1) (11, 25) 
(23, 26) (0, 1) (11, 26) 
(23, 26) (0, 1) (11, 30) 
(23, 26) (0, 1) (6, 22) 
(23, 26) (0, 1) (6, 23) 
(23, 26) (0, 1) (6, 25) 
(23, 26) (0, 1) (6, 26) 
(23, 26) (0, 1) (6, 30) 
(23, 27) (1, 1) (8, 30) 
(23, 27) (1, 1) (6, 26) 
(23, 27) (1, 1) (6, 30) 
(23, 27) (0, 1) (20, 30) 
(23, 27) (0, 1) (19, 26) 
(23, 27) (0, 1) (19, 30) 
(23, 27) (0, 1) (18, 25) 
(23, 27) (0, 1) (18, 26) 
(23, 27) (0, 1) (18, 30) 
(23, 27) (0, 1) (17, 25) 
(23, 27) (0, 1) (17, 26) 
(23, 27) (0, 1) (17, 30) 
(23, 27) (0, 1) (16, 23) 
(23, 27) (0, 1) (16, 25) 
(23, 27) (0, 1) (16, 26) 
(23, 27) (0, 1) (16, 30) 
(23, 27) (0, 1) (15, 23) 
(23, 27) (0, 1) (15, 25) 
(23, 27) (0, 1) (15, 26) 
(23, 27) (0, 1) (15, 30) 
(23, 27) (0, 1) (13, 23) 
(23, 27) (0, 1) (13, 25) 
(23, 27) (0, 1) (13, 26) 
(23, 27) (0, 1) (13, 30) 
(23, 27) (0, 1) (12, 22) 
(23, 27) (0, 1) (12, 23) 
(23, 27) (0, 1) (12, 25) 
(23, 27) (0, 1) (12, 26) 
(23, 27) (0, 1) (12, 30) 
(23, 27) (0, 1) (11, 22) 
(23, 27) (0, 1) (11, 23) 
(23, 27) (0, 1) (11, 25) 
(23, 27) (0, 1) (11, 26) 
(23, 27) (0, 1) (11, 30) 
(23, 27) (0, 1) (8, 21) 
(23, 27) (0, 1) (8, 22) 
(23, 27) (0, 1) (8, 23) 
(23, 27) (0, 1) (8, 25) 
(23, 27) (0, 1) (8, 26) 
(23, 27) (0, 1) (8, 30) 
(23, 27) (0, 1) (6, 21) 
(23, 27) (0, 1) (6, 22) 
(23, 27) (0, 1) (6, 23) 
(23, 27) (0, 1) (6, 25) 
(23, 27) (0, 1) (6, 26) 
(23, 27) (0, 1) (6, 30) 
(23, 28) (1, 1) (10, 30) 
(23, 28) (1, 1) (8, 26) 
(23, 28) (1, 1) (8, 30) 
(23, 28) (1, 1) (6, 25) 
(23, 28) (1, 1) (6, 26) 
(23, 28) (1, 1) (6, 30) 
(23, 28) (0, 1) (10, 21) 
(23, 28) (0, 1) (10, 22) 
(23, 28) (0, 1) (10, 23) 
(23, 28) (0, 1) (10, 25) 
(23, 28) (0, 1) (10, 26) 
(23, 28) (0, 1) (10, 30) 
(23, 28) (0, 1) (8, 21) 
(23, 28) (0, 1) (8, 22) 
(23, 28) (0, 1) (8, 23) 
(23, 28) (0, 1) (8, 25) 
(23, 28) (0, 1) (8, 26) 
(23, 28) (0, 1) (8, 30) 
(23, 28) (0, 1) (6, 20) 
(23, 28) (0, 1) (6, 21) 
(23, 28) (0, 1) (6, 22) 
(23, 28) (0, 1) (6, 23) 
(23, 28) (0, 1) (6, 25) 
(23, 28) (0, 1) (6, 26) 
(23, 28) (0, 1) (6, 30) 
(23, 28) (0, 1) (5, 20) 
(23, 28) (0, 1) (5, 21) 
(23, 28) (0, 1) (5, 22) 
(23, 28) (0, 1) (5, 23) 
(23, 28) (0, 1) (5, 25) 
(23, 28) (0, 1) (5, 26) 
(23, 28) (0, 1) (5, 30) 
(23, 29) (1, 1) (11, 30) 
(23, 29) (1, 1) (10, 26) 
(23, 29) (1, 1) (10, 30) 
(23, 29) (1, 1) (8, 25) 
(23, 29) (1, 1) (8, 26) 
(23, 29) (1, 1) (8, 30) 
(23, 29) (1, 1) (6, 23) 
(23, 29) (1, 1) (6, 25) 
(23, 29) (1, 1) (6, 26) 
(23, 29) (1, 1) (6, 30) 
(23, 29) (0, 1) (19, 25) 
(23, 29) (0, 1) (19, 26) 
(23, 29) (0, 1) (19, 30) 
(23, 29) (0, 1) (18, 25) 
(23, 29) (0, 1) (18, 26) 
(23, 29) (0, 1) (18, 30) 
(23, 29) (0, 1) (17, 23) 
(23, 29) (0, 1) (17, 25) 
(23, 29) (0, 1) (17, 26) 
(23, 29) (0, 1) (17, 30) 
(23, 29) (0, 1) (16, 23) 
(23, 29) (0, 1) (16, 25) 
(23, 29) (0, 1) (16, 26) 
(23, 29) (0, 1) (16, 30) 
(23, 29) (0, 1) (15, 23) 
(23, 29) (0, 1) (15, 25) 
(23, 29) (0, 1) (15, 26) 
(23, 29) (0, 1) (15, 30) 
(23, 29) (0, 1) (13, 22) 
(23, 29) (0, 1) (13, 23) 
(23, 29) (0, 1) (13, 25) 
(23, 29) (0, 1) (13, 26) 
(23, 29) (0, 1) (13, 30) 
(23, 29) (0, 1) (12, 21) 
(23, 29) (0, 1) (12, 22) 
(23, 29) (0, 1) (12, 23) 
(23, 29) (0, 1) (12, 25) 
(23, 29) (0, 1) (12, 26) 
(23, 29) (0, 1) (12, 30) 
(23, 29) (0, 1) (11, 21) 
(23, 29) (0, 1) (11, 22) 
(23, 29) (0, 1) (11, 23) 
(23, 29) (0, 1) (11, 25) 
(23, 29) (0, 1) (11, 26) 
(23, 29) (0, 1) (11, 30) 
(23, 29) (0, 1) (10, 20) 
(23, 29) (0, 1) (10, 21) 
(23, 29) (0, 1) (10, 22) 
(23, 29) (0, 1) (10, 23) 
(23, 29) (0, 1) (10, 25) 
(23, 29) (0, 1) (10, 26) 
(23, 29) (0, 1) (10, 30) 
(23, 29) (0, 1) (8, 20) 
(23, 29) (0, 1) (8, 21) 
(23, 29) (0, 1) (8, 22) 
(23, 29) (0, 1) (8, 23) 
(23, 29) (0, 1) (8, 25) 
(23, 29) (0, 1) (8, 26) 
(23, 29) (0, 1) (8, 30) 
(23, 29) (0, 1) (6, 19) 
(23, 29) (0, 1) (6, 20) 
(23, 29) (0, 1) (6, 21) 
(23, 29) (0, 1) (6, 22) 
(23, 29) (0, 1) (6, 23) 
(23, 29) (0, 1) (6, 25) 
(23, 29) (0, 1) (6, 26) 
(23, 29) (0, 1) (6, 30) 
(23, 29) (0, 1) (5, 19) 
(23, 29) (0, 1) (5, 20) 
(23, 29) (0, 1) (5, 21) 
(23, 29) (0, 1) (5, 22) 
(23, 29) (0, 1) (5, 23) 
(23, 29) (0, 1) (5, 25) 
(23, 29) (0, 1) (5, 26) 
(23, 29) (0, 1) (5, 30) 
(23, 30) (0, 1) (17, 23) 
(23, 30) (0, 1) (17, 25) 
(23, 30) (0, 1) (17, 26) 
(23, 30) (0, 1) (17, 30) 
(23, 30) (0, 1) (16, 23) 
(23, 30) (0, 1) (16, 25) 
(23, 30) (0, 1) (16, 26) 
(23, 30) (0, 1) (16, 30) 
(23, 30) (0, 1) (15, 22) 
(23, 30) (0, 1) (15, 23) 
(23, 30) (0, 1) (15, 25) 
(23, 30) (0, 1) (15, 26) 
(23, 30) (0, 1) (15, 30) 
(23, 30) (0, 1) (13, 22) 
(23, 30) (0, 1) (13, 23) 
(23, 30) (0, 1) (13, 25) 
(23, 30) (0, 1) (13, 26) 
(23, 30) (0, 1) (13, 30) 
(23, 30) (0, 1) (12, 21) 
(23, 30) (0, 1) (12, 22) 
(23, 30) (0, 1) (12, 23) 
(23, 30) (0, 1) (12, 25) 
(23, 30) (0, 1) (12, 26) 
(23, 30) (0, 1) (12, 30) 
(23, 30) (0, 1) (11, 20) 
(23, 30) (0, 1) (11, 21) 
(23, 30) (0, 1) (11, 22) 
(23, 30) (0, 1) (11, 23) 
(23, 30) (0, 1) (11, 25) 
(23, 30) (0, 1) (11, 26) 
(23, 30) (0, 1) (11, 30) 
(23, 30) (0, 1) (10, 20) 
(23, 30) (0, 1) (10, 21) 
(23, 30) (0, 1) (10, 22) 
(23, 30) (0, 1) (10, 23) 
(23, 30) (0, 1) (10, 25) 
(23, 30) (0, 1) (10, 26) 
(23, 30) (0, 1) (10, 30) 
(23, 30) (0, 1) (8, 19) 
(23, 30) (0, 1) (8, 20) 
(23, 30) (0, 1) (8, 21) 
(23, 30) (0, 1) (8, 22) 
(23, 30) (0, 1) (8, 23) 
(23, 30) (0, 1) (8, 25) 
(23, 30) (0, 1) (8, 26) 
(23, 30) (0, 1) (8, 30) 
(23, 30) (0, 1) (6, 19) 
(23, 30) (0, 1) (6, 20) 
(23, 30) (0, 1) (6, 21) 
(23, 30) (0, 1) (6, 22) 
(23, 30) (0, 1) (6, 23) 
(23, 30) (0, 1) (6, 25) 
(23, 30) (0, 1) (6, 26) 
(23, 30) (0, 1) (6, 30) 
(23, 30) (0, 1) (5, 18) 
(23, 30) (0, 1) (5, 19) 
(23, 30) (0, 1) (5, 20) 
(23, 30) (0, 1) (5, 21) 
(23, 30) (0, 1) (5, 22) 
(23, 30) (0, 1) (5, 23) 
(23, 30) (0, 1) (5, 25) 
(23, 30) (0, 1) (5, 26) 
(23, 30) (0, 1) (5, 30) 
(23, 31) (1, 1) (12, 30) 
(23, 31) (1, 1) (11, 26) 
(23, 31) (1, 1) (11, 30) 
(23, 31) (1, 1) (10, 25) 
(23, 31) (1, 1) (10, 26) 
(23, 31) (1, 1) (10, 30) 
(23, 31) (1, 1) (8, 23) 
(23, 31) (1, 1) (8, 25) 
(23, 31) (1, 1) (8, 26) 
(23, 31) (1, 1) (8, 30) 
(23, 31) (1, 1) (6, 22) 
(23, 31) (1, 1) (6, 23) 
(23, 31) (1, 1) (6, 25) 
(23, 31) (1, 1) (6, 26) 
(23, 31) (1, 1) (6, 30) 
(23, 31) (0, 1) (20, 26) 
(23, 31) (0, 1) (20, 30) 
(23, 31) (0, 1) (19, 25) 
(23, 31) (0, 1) (19, 26) 
(23, 31) (0, 1) (19, 30) 
(23, 31) (0, 1) (18, 23) 
(23, 31) (0, 1) (18, 25) 
(23, 31) (0, 1) (18, 26) 
(23, 31) (0, 1) (18, 30) 
(23, 31) (0, 1) (17, 23) 
(23, 31) (0, 1) (17, 25) 
(23, 31) (0, 1) (17, 26) 
(23, 31) (0, 1) (17, 30) 
(23, 31) (0, 1) (16, 22) 
(23, 31) (0, 1) (16, 23) 
(23, 31) (0, 1) (16, 25) 
(23, 31) (0, 1) (16, 26) 
(23, 31) (0, 1) (16, 30) 
(23, 31) (0, 1) (15, 22) 
(23, 31) (0, 1) (15, 23) 
(23, 31) (0, 1) (15, 25) 
(23, 31) (0, 1) (15, 26) 
(23, 31) (0, 1) (15, 30) 
(23, 31) (0, 1) (13, 21) 
(23, 31) (0, 1) (13, 22) 
(23, 31) (0, 1) (13, 23) 
(23, 31) (0, 1) (13, 25) 
(23, 31) (0, 1) (13, 26) 
(23, 31) (0, 1) (13, 30) 
(23, 31) (0, 1) (12, 21) 
(23, 31) (0, 1) (12, 22) 
(23, 31) (0, 1) (12, 23) 
(23, 31) (0, 1) (12, 25) 
(23, 31) (0, 1) (12, 26) 
(23, 31) (0, 1) (12, 30) 
(23, 31) (0, 1) (11, 21) 
(23, 31) (0, 1) (11, 22) 
(23, 31) (0, 1) (11, 23) 
(23, 31) (0, 1) (11, 25) 
(23, 31) (0, 1) (11, 26) 
(23, 31) (0, 1) (11, 30) 
(23, 31) (0, 1) (10, 21) 
(23, 31) (0, 1) (10, 22) 
